,0,1,2,3,4,5,6,7,8,9,10
0,0.2,0.58,0.65,0.09,0.16,0.02,0.02,0.0,0.24,0.895,0.06
1,0.61,0.53,0.7,0.28,0.3575,0.19,0.26,0.03,0.45,0.57,0.23
2,0.11,0.54,0.6,0.0,0.2,0.02,0.02,0.0,0.3,0.91,0.0
3,0.335,0.59,0.65,0.03,0.11,0.01,0.1,0.01,0.27,0.81,0.11
4,0.31666666666666665,0.595,0.62,0.17,0.31166666666666665,0.13,0.11,0.01,0.63,0.9458333333333334,0.07333333333333333
5,0.34,0.5033333333333334,0.59,0.19,0.3,0.04,0.28,0.04,0.43,0.77,0.18
6,0.31,0.53,0.77,0.17,0.39,0.03333333333333333,0.14,0.0,0.3,0.77,0.14
7,0.24,0.93,0.96,0.1,0.07,0.04,0.06,0.0,0.11,0.92,0.65
8,0.09,0.43,0.58,0.04,0.08,0.05,0.0,0.0,0.0,0.91,0.0
9,0.06,0.22,0.66,0.03,0.39,0.01,0.02,0.0,0.01,0.96,0.0
10,0.03,0.41,0.6,0.0,0.01,0.0,0.0,0.0,0.0,0.94,0.0
11,0.26,0.38,0.62,0.0,0.05,0.0,0.02,0.0,0.0,0.93,0.02
12,0.32,0.43,0.66,0.08,0.17,0.02,0.09,0.01,0.13,0.83,0.03
13,0.33,0.5,0.61,0.15,0.23,0.08,0.17,0.03,0.49,0.71,0.16
14,0.155,0.39,0.76,0.14,0.21,0.03,0.1,0.02,0.35,0.88,0.09
15,0.26,0.395,0.78,0.1,0.2,0.02,0.16,0.01,0.11,0.17,0.1
16,0.08,0.38,0.55,0.03,0.07,0.06,0.0,0.0,0.0,0.825,0.0
17,0.15,0.48,0.62,0.06,0.13,0.02,0.03,0.0,0.09,0.775,0.04
18,0.1,0.6,0.59,0.03,0.27,0.026666666666666665,0.13,0.0,0.23,0.72,0.02
19,0.21,0.49,0.53,0.14,0.31,0.09,0.31,0.01,0.38,0.79,0.11
