,0,1,2,3,4,5,6,7,8,9,10
0,0.14,0.49666666666666665,0.63,0.07,0.24,0.01,0.03,0.0,0.13,0.92,0.07
1,0.81,0.43,0.61,0.2,0.51,0.2025,0.26,0.057999999999999996,0.4,0.5466666666666667,0.22
2,0.15,0.43,0.66,0.03,0.14,0.01,0.0,0.0,0.31,0.96,0.03
3,0.37,0.48,0.66,0.05,0.195,0.05,0.07,0.0,0.31,0.8,0.12
4,0.3866666666666667,0.586,0.51,0.24,0.38,0.09,0.09,0.02,0.68,0.93,0.0825
5,0.4775,0.62,0.62,0.19,0.245,0.18,0.29,0.01,0.36,0.66,0.25
6,0.34,0.47,0.72,0.17,0.25,0.05,0.19,0.01,0.27,0.76,0.09
7,0.29,0.65,0.94,0.1,0.14,0.03,0.06,0.02,0.19,0.7325,0.14
8,0.12666666666666665,0.4,0.54,0.05,0.05,0.02,0.0,0.0,0.0,0.96,0.01
9,0.07,0.32,0.39,0.03,0.11,0.0,0.02,0.0,0.03,0.96,0.02
10,0.02,0.37,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.01
11,0.25,0.35,0.58,0.02,0.03,0.01,0.02,0.0,0.0,0.9,0.02
12,0.27,0.43,0.72,0.05,0.16333333333333333,0.01,0.05,0.0,0.13,0.87,0.04
13,0.34,0.48,0.58,0.08,0.225,0.06,0.14,0.03,0.49,0.68,0.12
14,0.22,0.31,0.66,0.11,0.3366666666666667,0.02,0.07,0.0,0.36,0.86,0.05
15,0.21,0.3,0.52,0.19,0.09,0.03,0.12,0.01,0.15,0.515,0.13
16,0.19333333333333333,0.3,0.52,0.02,0.04,0.01,0.0,0.0,0.0,0.81,0.0
17,0.1733333333333333,0.41,0.59,0.04,0.06,0.05,0.03,0.0,0.08,0.81,0.0
18,0.2,0.56,0.54,0.04,0.105,0.03,0.07,0.0,0.24,0.7,0.06
19,0.24666666666666665,0.43,0.71,0.15,0.29,0.08,0.16,0.01,0.36,0.77,0.09
20,0.38,0.48,0.69,0.19,0.25,0.135,0.27,0.07,0.39,0.69,0.18
21,0.05,0.29,0.49,0.03,0.04,0.0,0.0,0.0,0.01,0.96,0.0
22,0.3575,0.45,0.67,0.05,0.31,0.08,0.08,0.01,0.21,0.65,0.13
23,0.36,0.45,0.63,0.1,0.24,0.09,0.14,0.0,0.32,0.78,0.18
24,0.7675000000000002,0.435,0.7,0.27,0.3,0.185,0.16,0.04,0.31,0.5616666666666666,0.1
25,0.48,0.49,0.71,0.19,0.26,0.09,0.13,0.01,0.31,0.72,0.19
26,0.02,0.31,0.63,0.0,0.03,0.01,0.0,0.0,0.0,0.99,0.0
27,0.10666666666666667,0.16,0.4,0.04,0.12,0.02,0.0,0.0,0.0,0.91,0.0
28,0.35,0.31,0.68,0.14,0.21,0.07,0.04,0.0,0.19,0.89,0.13
29,0.04,0.26,0.64,0.0,0.0,0.01,0.0,0.0,0.01,0.97,0.0
30,0.22666666666666666,0.45333333333333337,0.65,0.1,0.2175,0.03,0.06,0.01,0.31,0.88,0.08
31,0.13,0.29,0.44,0.0,0.07,0.05,0.06,0.0,0.05,0.87,0.0
32,0.3741666666666667,0.48,0.72,0.07,0.35,0.02,0.12,0.01,0.26,0.79,0.17
33,0.275,0.41,0.75,0.06,0.18,0.06,0.08,0.0,0.2,0.75,0.05
34,0.1825,0.34,0.56,0.07,0.13,0.02,0.04,0.01,0.1,0.86,0.05
35,0.36,0.7,0.66,0.06,0.22,0.10333333333333333,0.1,0.01,0.37,0.63,0.1
36,0.27,0.49,0.68,0.04,0.215,0.06,0.11,0.03,0.2,0.82,0.08
37,0.2675,0.58,0.59,0.02,0.115,0.02,0.05,0.0,0.11,0.86,0.05
38,0.52,0.56,0.59,0.19,0.37,0.05,0.27,0.04,0.45,0.55,0.26
39,0.14,0.46,0.66,0.01,0.11,0.0,0.17,0.0,0.13,0.88,0.01
40,0.17,0.52,0.5,0.01,0.08,0.02,0.05,0.0,0.17,0.74,0.04
41,0.11,0.43,0.59,0.1,0.29,0.04,0.16,0.02,0.32,0.72,0.155
42,0.37,0.52,0.63,0.18,0.405,0.02333333333333333,0.34,0.04,0.32,0.73,0.17
43,0.08,0.44,0.48,0.03,0.08,0.0,0.23,0.0,0.56,0.92,0.0
44,0.35666666666666663,0.545,0.6,0.15,0.165,0.1,0.17,0.0,0.27,0.7333333333333334,0.07
45,0.215,0.47,0.7,0.07,0.19,0.06,0.1,0.0,0.28,0.76,0.03
46,0.44333333333333336,0.535,0.62,0.06,0.35,0.13,0.19,0.02,0.44,0.68,0.24
47,0.21,0.57,0.47,0.03,0.14,0.03,0.02,0.0,0.14,0.9,0.06
48,0.44,0.445,0.65,0.11,0.2533333333333333,0.075,0.18,0.02,0.28,0.66,0.1
49,0.16,0.44,0.59,0.07,0.19,0.01,0.12,0.0,0.28,0.83,0.05
50,0.07,0.57,0.59,0.06,0.03,0.01,0.0,0.0,0.0,0.92,0.04
51,0.2875,0.58,0.59,0.28,0.35,0.13,0.17,0.05,0.46,0.71,0.2
52,0.31,0.49,0.74,0.08,0.26,0.09,0.19,0.04,0.38,0.76,0.1
53,0.43916666666666665,0.475,0.59,0.2,0.33,0.18,0.12,0.03,0.45,0.7866666666666666,0.19
54,0.19,0.41,0.6,0.04,0.28,0.04,0.09,0.01,0.22,0.78,0.06
55,0.37,0.45,0.6,0.09,0.2075,0.05333333333333333,0.16,0.01,0.29,0.8,0.14
56,0.26,0.55,0.51,0.02,0.15,0.02,0.04,0.01,0.11,0.82,0.07
57,0.11,0.24,0.41,0.0,0.1,0.0,0.01,0.0,0.03,0.93,0.0
58,0.77,0.56,0.64,0.11,0.28,0.09,0.12,0.01,0.24,0.6733333333333335,0.16
59,0.25333333333333335,0.52,0.71,0.01,0.065,0.01,0.02,0.0,0.09,0.77,0.03
60,0.2766666666666666,0.44,0.68,0.21,0.2125,0.175,0.16,0.02,0.3,0.725,0.085
61,0.355,0.496,0.64,0.18,0.495,0.08333333333333334,0.1,0.0,0.45,0.71,0.07
62,0.18,0.6,0.59,0.09,0.12,0.02,0.09,0.0,0.15,0.88,0.07
63,0.34,0.4,0.58,0.18,0.27,0.05,0.12,0.0,0.3,0.79,0.1
64,0.35,0.57,0.74,0.34,0.215,0.14666666666666667,0.23,0.08,0.38,0.62,0.18
65,0.405,0.79,0.88,0.06,0.19,0.03,0.03,0.05,0.35,0.28,0.1
66,0.04,0.36,0.73,0.0,0.06,0.01,0.0,0.01,0.0,0.91,0.0
67,0.19833333333333336,0.56,0.65,0.01,0.14,0.04,0.03,0.0,0.1,0.79,0.12
68,0.7906666666666666,0.37333333333333335,0.67,0.38,0.3,0.115,0.31,0.09,0.4,0.55,0.27
69,0.17,0.48333333333333334,0.58,0.03,0.12,0.02,0.01,0.0,0.29,0.855,0.015
70,0.475,0.585,0.65,0.04,0.295,0.08333333333333334,0.07,0.0,0.19,0.58,0.13
71,0.3,0.58,0.54,0.06,0.26,0.05,0.22,0.02,0.53,0.53,0.05
72,0.3433333333333334,0.4533333333333333,0.65,0.19,0.31,0.11,0.23,0.03,0.35,0.73,0.12
73,0.22,0.45,0.5,0.03,0.06,0.05,0.04,0.01,0.08,0.94,0.01
74,0.04,0.06,0.68,0.03,0.05,0.0,0.01,0.0,0.03,0.96,0.0
75,0.02,0.25,0.72,0.04,0.0,0.0,0.0,0.0,0.02,1.0,0.0
76,0.34,0.51,0.58,0.13,0.23,0.08,0.16,0.02,0.3,0.77,0.26
77,0.09,0.53,0.58,0.09,0.08,0.04,0.18,0.0,0.16,0.82,0.03
78,0.25,0.4,0.56,0.1,0.19,0.14,0.1,0.02,0.25,0.66,0.07
79,0.17,0.4,0.55,0.11,0.12,0.02,0.05,0.0,0.22,0.86,0.08
80,0.58,0.525,0.73,0.32,0.355,0.08,0.28,0.02,0.38,0.563,0.14
81,0.13,0.38,0.6,0.05,0.08,0.06,0.04,0.0,0.09,0.93,0.0
82,0.298,0.46333333333333326,0.68,0.19,0.25,0.08,0.06,0.05,0.27,0.6716666666666667,0.1
83,0.465,0.65,0.62,0.38,0.16,0.14,0.4,0.08,0.43,0.505,0.17
84,0.31333333333333335,0.59,0.63,0.21,0.12,0.04,0.17,0.01,0.29,0.85,0.07
85,0.15,0.33,0.77,0.05,0.12,0.06,0.08,0.01,0.22,0.93,0.11
86,0.2125,0.44,0.54,0.13,0.28,0.055,0.09,0.01,0.33,0.84,0.05
87,0.14,0.46,0.75,0.05,0.105,0.04,0.05,0.0,0.15,0.87,0.06
88,0.315,0.52,0.64,0.17,0.35,0.04,0.2,0.0,0.33,0.85,0.13
89,0.69,0.47,0.6,0.24,0.25,0.14,0.21,0.03,0.35,0.65,0.24
90,0.195,0.49,0.74,0.13,0.18,0.01,0.06,0.0,0.03,0.91,0.03
91,0.24,0.42,0.58,0.02,0.23,0.03,0.08,0.0,0.55,0.86,0.03
92,0.4716666666666666,0.83,0.71,0.26,0.07,0.07,0.03,0.03,0.15,0.3,0.14
93,0.335,0.56,0.67,0.15,0.16,0.07,0.14,0.03,0.37,0.24333333333333335,0.18
94,0.24333333333333332,0.585,0.62,0.12,0.23166666666666663,0.11,0.17,0.0,0.44,0.84,0.12
95,0.25,0.55,0.56,0.06,0.19,0.03,0.1,0.03,0.29,0.905,0.05
96,0.27,0.49,0.69,0.15,0.14,0.03,0.12,0.03,0.25,0.83,0.11
